kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,satuan,kecamatan,puskesmas,jenis_kelamin,penderita_dbd,year,data_origin
32,JAWA BARAT,3273,KOTA BANDUNG,3273230,32.73.02,COBLONG,ORANG,COBLONG,UPT PUTER,LAKI-LAKI,60,2017,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273230,32.73.02,COBLONG,ORANG,COBLONG,UPT PUTER,PEREMPUAN,67,2017,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273101,32.73.27,GEDEBAGE,ORANG,GEDEBAGE,UPT RIUNG BANDUNG,LAKI-LAKI,18,2017,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273101,32.73.27,GEDEBAGE,ORANG,GEDEBAGE,UPT RIUNG BANDUNG,PEREMPUAN,11,2017,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273200,32.73.09,BANDUNG WETAN,ORANG,BANDUNG WETAN,UPT SALAM,LAKI-LAKI,15,2017,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273200,32.73.09,BANDUNG WETAN,ORANG,BANDUNG WETAN,UPT SALAM,PEREMPUAN,9,2017,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273142,32.73.30,MANDALAJATI,ORANG,MANDALAJATI,UPT SINDANGJAYA,LAKI-LAKI,17,2017,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273142,32.73.30,MANDALAJATI,ORANG,MANDALAJATI,UPT SINDANGJAYA,PEREMPUAN,16,2017,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273240,32.73.07,SUKAJADI,ORANG,SUKAJADI,UPT SUKAJADI,LAKI-LAKI,17,2017,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273240,32.73.07,SUKAJADI,ORANG,SUKAJADI,UPT SUKAJADI,PEREMPUAN,19,2017,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273250,32.73.01,SUKASARI,ORANG,SUKASARI,UPT SUKARASA,LAKI-LAKI,18,2017,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273250,32.73.01,SUKASARI,ORANG,SUKASARI,UPT SUKARASA,PEREMPUAN,25,2017,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273070,32.73.13,LENGKONG,ORANG,LENGKONG,UPT TALAGABODAS,LAKI-LAKI,75,2017,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273070,32.73.13,LENGKONG,ORANG,LENGKONG,UPT TALAGABODAS,PEREMPUAN,63,2017,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273170,32.73.19,SUMUR BANDUNG,ORANG,SUMUR BANDUNG,UPT TAMBLONG,LAKI-LAKI,18,2017,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273170,32.73.19,SUMUR BANDUNG,ORANG,SUMUR BANDUNG,UPT TAMBLONG,PEREMPUAN,7,2017,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273120,32.73.26,UJUNGBERUNG,ORANG,UJUNG BERUNG,UPT UJUNGBERUNG INDAH,LAKI-LAKI,14,2017,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273120,32.73.26,UJUNGBERUNG,ORANG,UJUNG BERUNG,UPT UJUNGBERUNG INDAH,PEREMPUAN,18,2017,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273130,32.73.24,ARCAMANIK,ORANG,ARCAMANIK,UPT ARCAMANIK,LAKI-LAKI,52,2018,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273130,32.73.24,ARCAMANIK,ORANG,ARCAMANIK,UPT ARCAMANIK,PEREMPUAN,43,2018,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273150,32.73.16,KIARACONDONG,ORANG,KIARACONDONG,UPT BABAKAN SARI,LAKI-LAKI,103,2018,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273150,32.73.16,KIARACONDONG,ORANG,KIARACONDONG,UPT BABAKAN SARI,PEREMPUAN,72,2018,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273020,32.73.03,BABAKAN CIPARAY,ORANG,BABAKAN CIPARAY,UPT CARINGIN,LAKI-LAKI,38,2018,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273020,32.73.03,BABAKAN CIPARAY,ORANG,BABAKAN CIPARAY,UPT CARINGIN,PEREMPUAN,50,2018,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273030,32.73.04,BOJONGLOA KALER,ORANG,BOJONGLOA KALER,UPT CETARIP,LAKI-LAKI,40,2018,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273030,32.73.04,BOJONGLOA KALER,ORANG,BOJONGLOA KALER,UPT CETARIP,PEREMPUAN,49,2018,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273110,32.73.25,CIBIRU,ORANG,CIBIRU,UPT CIBIRU,LAKI-LAKI,52,2018,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273110,32.73.25,CIBIRU,ORANG,CIBIRU,UPT CIBIRU,PEREMPUAN,53,2018,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273010,32.73.15,BANDUNG KULON,ORANG,BANDUNG KULON,UPT CIBUNTU,LAKI-LAKI,26,2018,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273010,32.73.15,BANDUNG KULON,ORANG,BANDUNG KULON,UPT CIBUNTU,PEREMPUAN,21,2018,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273121,32.73.29,CINAMBO,ORANG,CINAMBO,UPT CINAMBO,LAKI-LAKI,15,2018,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273121,32.73.29,CINAMBO,ORANG,CINAMBO,UPT CINAMBO,PEREMPUAN,9,2018,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273100,32.73.23,RANCASARI,ORANG,RANCASARI,UPT CIPAMOKOLAN,LAKI-LAKI,58,2018,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273100,32.73.23,RANCASARI,ORANG,RANCASARI,UPT CIPAMOKOLAN,PEREMPUAN,42,2018,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273260,32.73.08,CIDADAP,ORANG,CIDADAP,UPT CIUMBULEUIT,LAKI-LAKI,22,2018,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273260,32.73.08,CIDADAP,ORANG,CIDADAP,UPT CIUMBULEUIT,PEREMPUAN,23,2018,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273180,32.73.05,ANDIR,ORANG,ANDIR,UPT GARUDA,LAKI-LAKI,34,2018,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273180,32.73.05,ANDIR,ORANG,ANDIR,UPT GARUDA,PEREMPUAN,33,2018,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273141,32.73.20,ANTAPANI,ORANG,ANTAPANI,UPT GRIYA ANTAPANI,LAKI-LAKI,61,2018,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273141,32.73.20,ANTAPANI,ORANG,ANTAPANI,UPT GRIYA ANTAPANI,PEREMPUAN,67,2018,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273160,32.73.12,BATUNUNGGAL,ORANG,BATUNUNGGAL,UPT IBRAHIM AJI,LAKI-LAKI,79,2018,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273160,32.73.12,BATUNUNGGAL,ORANG,BATUNUNGGAL,UPT IBRAHIM AJI,PEREMPUAN,83,2018,real_bandung_reference
