,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,upt_puskesmas,jenis_kelamin,jumlah_kasus,satuan,tahun
81,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,UPT GRIYA ANTAPANI,LAKI LAKI,52,ORANG,2017
82,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,UPT GRIYA ANTAPANI,PEREMPUAN,40,ORANG,2017
83,32,JAWA BARAT,3273,KOTA BANDUNG,3273160,BATUNUNGGAL,32.73.12,BATUNUNGGAL,UPT IBRAHIM AJI,LAKI LAKI,72,ORANG,2017
84,32,JAWA BARAT,3273,KOTA BANDUNG,3273160,BATUNUNGGAL,32.73.12,BATUNUNGGAL,UPT IBRAHIM AJI,PEREMPUAN,59,ORANG,2017
85,32,JAWA BARAT,3273,KOTA BANDUNG,3273040,BOJONGLOA KIDUL,32.73.17,BOJONGLOA KIDUL,UPT KOPO,LAKI LAKI,9,ORANG,2017
86,32,JAWA BARAT,3273,KOTA BANDUNG,3273040,BOJONGLOA KIDUL,32.73.17,BOJONGLOA KIDUL,UPT KOPO,PEREMPUAN,9,ORANG,2017
87,32,JAWA BARAT,3273,KOTA BANDUNG,3273080,BANDUNG KIDUL,32.73.21,BANDUNG KIDUL,UPT KUJANGSARI,LAKI LAKI,44,ORANG,2017
88,32,JAWA BARAT,3273,KOTA BANDUNG,3273080,BANDUNG KIDUL,32.73.21,BANDUNG KIDUL,UPT KUJANGSARI,PEREMPUAN,38,ORANG,2017
89,32,JAWA BARAT,3273,KOTA BANDUNG,3273090,BUAHBATU,32.73.22,BUAHBATU,UPT MARGAHAYU RAYA,LAKI LAKI,78,ORANG,2017
90,32,JAWA BARAT,3273,KOTA BANDUNG,3273090,BUAHBATU,32.73.22,BUAHBATU,UPT MARGAHAYU RAYA,PEREMPUAN,56,ORANG,2017
